Formulation Index,Drug SMILES,Profile Duration,AUC,AUC Class,Fold,Release_24h,Release_48h,Release_72h
1,CC1CC(=CCC2CC(CC3(O2)CC(=NOC)C(C(O3)C(=CC(C)C)C)C)OC(=O)C4C=C(C(C5C4(C(=CC=C1)CO5)O)O)C)C,237.732283464566,0.28530360681851324,AUC <= 0.5,0,0.033137638617090626,0.06249999999999994,0.06139048084987413
2,O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C32F)C,20.0356809600015,0.890264144226136,AUC > 0.5,0,0.5761231122156368,0.6982221372586499,0.7753420225550001
3,O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C32F)C,20.0350040854215,0.6968273054708087,AUC > 0.5,0,0.17490936844113716,0.2192101226993859,0.3518766756032176
4,O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C32F)C,20.0357776563701,0.6830041287370914,AUC > 0.5,0,0.08939393939393929,0.12271510516252448,0.23926046897089678
5,O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C32F)C,20.0350040854215,0.6479940807308285,AUC > 0.5,0,0.0611169652265542,0.09575363427697128,0.20169515874155963
6,O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C32F)C,29.9469964664311,0.6974930165958554,AUC > 0.5,0,0.1411722786388746,0.19371537472853795,0.25606979151264175
7,O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C32F)C,29.9469964664311,0.5258632426468869,AUC > 0.5,0,0.04263370109442189,0.055026307212366746,0.07791445345261386
8,O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C32F)C,29.9469964664311,0.5186474495903861,AUC > 0.5,0,0.022546806532996934,0.03565582835655828,0.05922974767596267
9,O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C32F)C,29.9469964664311,0.5152695946104566,AUC > 0.5,0,0.014309189735810949,0.025273548447176098,0.03387881468376815
10,O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C32F)C,19.9676122403395,0.7408831541053702,AUC > 0.5,0,0.05743696852155775,0.14854185492483357,0.3195759604654882
11,O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C32F)C,19.9673729219183,0.7408380845854612,AUC > 0.5,0,0.07586206896551755,0.15881745211793677,0.28923027939186613
12,O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C32F)C,19.9672133763042,0.782585688207318,AUC > 0.5,0,0.14963364128703455,0.24460874922982173,0.4019264015806375
13,O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C32F)C,19.9675324675324,0.8561255268572335,AUC > 0.5,0,0.6273895330617363,0.6628063774093754,0.701563367986667
14,O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C32F)C,29.9487179487179,0.6278884514899018,AUC > 0.5,0,0.022615979381443333,0.035438144329896705,0.04862995116657635
15,O=C1C=CC2(C(=C1)CCC3C4CC(C)C(O)(C(=O)CO)C4(C)CC(O)C32F)C,29.8974358974359,0.6022837792435148,AUC > 0.5,0,0.026325478645066326,0.038659793814433,0.05957573354480575
